state,district,geoid,total votes,party,votes,percentage
AL,DISTRICT 1,AL-01,136710,Democratic,24357,17.816545973228003
AL,DISTRICT 1,AL-01,136710,Republican,104606,76.51671421256675
AL,DISTRICT 1,AL-01,136710,Other,7747,5.666739814205252
AL,DISTRICT 2,AL-02,146508,Democratic,60769,41.478281049499
AL,DISTRICT 2,AL-02,146508,Republican,80362,54.85161219865127
AL,DISTRICT 2,AL-02,146508,Other,5377,3.6701067518497283
AL,DISTRICT 3,AL-03,132383,Democratic,100045,75.57239222558788
AL,DISTRICT 3,AL-03,132383,Republican,27253,20.586480137177734
AL,DISTRICT 3,AL-03,132383,Other,5085,3.841127637234388
AL,DISTRICT 4,AL-04,155301,Democratic,108039,69.56748507736589
AL,DISTRICT 4,AL-04,155301,Republican,46551,29.974694303320646
AL,DISTRICT 4,AL-04,155301,Other,711,0.45782061931346224
AL,DISTRICT 5,AL-05,136545,Democratic,101303,74.19019370903365
AL,DISTRICT 5,AL-05,136545,Republican,33352,24.42564722252737
AL,DISTRICT 5,AL-05,136545,Other,1890,1.3841590684389762
AL,DISTRICT 6,AL-06,153133,Democratic,54497,35.588018258637916
AL,DISTRICT 6,AL-06,153133,Republican,91499,59.75132727759529
AL,DISTRICT 6,AL-06,153133,Other,7137,4.660654463766791
AL,DISTRICT 7,AL-07,112041,Democratic,95060,84.84394105729153
AL,DISTRICT 7,AL-07,112041,Republican,0,0.0
AL,DISTRICT 7,AL-07,112041,Other,16981,15.156058942708473
AK,DISTRICT 1,AK-01,95401,Democratic,53651,56.237356002557625
AK,DISTRICT 1,AK-01,95401,Republican,41750,43.762643997442375
AZ,DISTRICT 1,AZ-01,140353,Democratic,59900,42.67810449366954
AZ,DISTRICT 1,AZ-01,140353,Republican,80453,57.32189550633046
AZ,DISTRICT 2,AZ-02,153804,Democratic,97616,63.46779017450781
AZ,DISTRICT 2,AZ-02,153804,Republican,56188,36.53220982549218
AZ,DISTRICT 3,AZ-03,143930,Democratic,53220,36.97630792746474
AZ,DISTRICT 3,AZ-03,143930,Republican,90710,63.02369207253526
AZ,DISTRICT 4,AZ-04,155820,Democratic,73309,47.047233987934796
AZ,DISTRICT 4,AZ-04,155820,Republican,82511,52.9527660120652
AR,DISTRICT 1,AR-01,0,Democratic,0,0
AR,DISTRICT 1,AR-01,0,Republican,0,0
