state,district,geoid,total votes,party,votes,percentage
AL,DISTRICT 1,AL-01,45225,Democratic,45225,100.0
AL,DISTRICT 1,AL-01,45225,Republican,0,0.0
AL,DISTRICT 2,AL-02,44487,Democratic,44487,100.0
AL,DISTRICT 2,AL-02,44487,Republican,0,0.0
AL,DISTRICT 3,AL-03,33881,Democratic,33881,100.0
AL,DISTRICT 3,AL-03,33881,Republican,0,0.0
AL,DISTRICT 4,AL-04,34881,Democratic,34855,99.92546085261317
AL,DISTRICT 4,AL-04,34881,Republican,0,0.0
AL,DISTRICT 4,AL-04,34881,Other,26,0.07453914738682951
AL,DISTRICT 5,AL-05,48772,Democratic,48772,100.0
AL,DISTRICT 5,AL-05,48772,Republican,0,0.0
AL,DISTRICT 6,AL-06,23245,Democratic,23245,100.0
AL,DISTRICT 6,AL-06,23245,Republican,0,0.0
AL,DISTRICT 7,AL-07,36124,Democratic,36124,100.0
AL,DISTRICT 7,AL-07,36124,Republican,0,0.0
AL,DISTRICT 8,AL-08,66211,Democratic,52411,79.15754179819064
AL,DISTRICT 8,AL-08,66211,Republican,13800,20.842458201809364
AL,DISTRICT 9,AL-09,104884,Democratic,70567,67.28099614812555
AL,DISTRICT 9,AL-09,104884,Republican,34317,32.71900385187445
AK,DISTRICT 1,AK-01,59063,Democratic,33546,56.796979496469866
AK,DISTRICT 1,AK-01,59063,Republican,25517,43.20302050353013
AZ,DISTRICT 1,AZ-01,0,Democratic,0,0
AZ,DISTRICT 1,AZ-01,0,Republican,0,0
AZ,DISTRICT 2,AZ-02,0,Democratic,0,0
AZ,DISTRICT 2,AZ-02,0,Republican,0,0
AR,DISTRICT 1,AR-01,0,Democratic,0,0
AR,DISTRICT 1,AR-01,0,Republican,0,0
AR,DISTRICT 2,AR-02,0,Democratic,0,0
AR,DISTRICT 2,AR-02,0,Republican,0,0
AR,DISTRICT 3,AR-03,0,Democratic,0,0
AR,DISTRICT 3,AR-03,0,Republican,0,0
AR,DISTRICT 4,AR-04,0,Democratic,0,0
AR,DISTRICT 4,AR-04,0,Republican,0,0
AR,DISTRICT 5,AR-05,0,Democratic,0,0
AR,DISTRICT 5,AR-05,0,Republican,0,0
AR,DISTRICT 6,AR-06,0,Democratic,0,0
AR,DISTRICT 6,AR-06,0,Republican,0,0
CA,DISTRICT 1,CA-01,0,Democratic,0,0
CA,DISTRICT 1,CA-01,0,Republican,0,0
CA,DISTRICT 2,CA-02,224338,Democratic,115829,51.63146680455384
CA,DISTRICT 2,CA-02,224338,Republican,108505,48.36675017161605
CA,DISTRICT 2,CA-02,224338,Other,4,0.0017830238301134896
CA,DISTRICT 3,CA-03,174763,Democratic,109565,62.69347630791414
CA,DISTRICT 3,CA-03,174763,Republican,65198,37.306523692085854
CA,DISTRICT 4,CA-04,265684,Democratic,200439,75.44263109558725
CA,DISTRICT 4,CA-04,265684,Republican,65198,24.539678716068714
CA,DISTRICT 4,CA-04,265684,Other,47,0.017690188344047817
CA,DISTRICT 5,CA-05,181063,Democratic,62814,34.691792359565454
CA,DISTRICT 5,CA-05,181063,Republican,118249,65.30820764043455
CA,DISTRICT 6,CA-06,124812,Democratic,104507,83.7315322244656
CA,DISTRICT 6,CA-06,124812,Republican,20305,16.268467775534404
CA,DISTRICT 7,CA-07,218678,Democratic,90260,41.27529975580534
CA,DISTRICT 7,CA-07,218678,Republican,128418,58.72470024419466
CA,DISTRICT 8,CA-08,139852,Democratic,79776,57.04315991190687
CA,DISTRICT 8,CA-08,139852,Republican,60065,42.948974630323484
