state,district,geoid,total votes,party,votes,percentage
AL,DISTRICT 1,AL-01,105614,Democratic,40593,38.43524532732403
AL,DISTRICT 1,AL-01,105614,Republican,60318,57.111746548753004
AL,DISTRICT 1,AL-01,105614,Other,4703,4.453008123922965
AL,DISTRICT 2,AL-02,109722,Democratic,37533,34.20736041997047
AL,DISTRICT 2,AL-02,109722,Republican,60743,55.36082098394123
AL,DISTRICT 2,AL-02,109722,Other,11446,10.431818596088297
AL,DISTRICT 3,AL-03,95590,Democratic,86796,90.80029291766921
AL,DISTRICT 3,AL-03,95590,Republican,0,0.0
AL,DISTRICT 3,AL-03,95590,Other,8794,9.199707082330788
AL,DISTRICT 4,AL-04,108301,Democratic,86626,79.98633438287736
AL,DISTRICT 4,AL-04,108301,Republican,12427,11.474501620483652
AL,DISTRICT 4,AL-04,108301,Other,9248,8.539163996638997
AL,DISTRICT 5,AL-05,122884,Democratic,69110,56.24003124898278
AL,DISTRICT 5,AL-05,122884,Republican,14582,11.866475700660786
AL,DISTRICT 5,AL-05,122884,Other,39192,31.893493050356437
AL,DISTRICT 6,AL-06,117029,Democratic,34608,29.572157328525407
AL,DISTRICT 6,AL-06,117029,Republican,69445,59.339992651394105
AL,DISTRICT 6,AL-06,117029,Other,12976,11.087850020080493
AL,DISTRICT 7,AL-07,139445,Democratic,106132,76.11029438129728
AL,DISTRICT 7,AL-07,139445,Republican,29923,21.45863960701352
AL,DISTRICT 7,AL-07,139445,Other,3390,2.4310660116891967
AL,DISTRICT 8,AL-08,112448,Democratic,85528,76.06004553215709
AL,DISTRICT 8,AL-08,112448,Republican,0,0.0
AL,DISTRICT 8,AL-08,112448,Other,26920,23.939954467842913
AK,DISTRICT 1,AK-01,80362,Democratic,36785,45.77412209750877
AK,DISTRICT 1,AK-01,80362,Republican,43577,54.22587790249123
AK,DISTRICT 1,AK-01,80362,Other,0,0.0
AZ,DISTRICT 1,AZ-01,192355,Democratic,54594,28.38189805307894
AZ,DISTRICT 1,AZ-01,192355,Republican,137761,71.61810194692106
AZ,DISTRICT 1,AZ-01,192355,Other,0,0.0
AZ,DISTRICT 2,AZ-02,145536,Democratic,102301,70.2925736587511
AZ,DISTRICT 2,AZ-02,145536,Republican,43235,29.707426341248897
AZ,DISTRICT 2,AZ-02,145536,Other,0,0.0
AZ,DISTRICT 3,AZ-03,125739,Democratic,46072,36.64097853490166
AZ,DISTRICT 3,AZ-03,125739,Republican,79667,63.359021465098344
AZ,DISTRICT 3,AZ-03,125739,Other,0,0.0
AR,DISTRICT 1,AR-01,116577,Democratic,80293,68.8755071755149
AR,DISTRICT 1,AR-01,116577,Republican,36284,31.124492824485106
AR,DISTRICT 1,AR-01,116577,Other,0,0.0
AR,DISTRICT 2,AR-02,0,Democratic,0,0
AR,DISTRICT 2,AR-02,0,Republican,0,0
AR,DISTRICT 2,AR-02,0,Other,0,0
AR,DISTRICT 3,AR-03,181409,Democratic,59638,32.874884928531664
AR,DISTRICT 3,AR-03,181409,Republican,121771,67.12511507146834
AR,DISTRICT 3,AR-03,181409,Other,0,0.0
AR,DISTRICT 4,AR-04,0,Democratic,0,0
AR,DISTRICT 4,AR-04,0,Republican,0,0
AR,DISTRICT 4,AR-04,0,Other,0,0
CA,DISTRICT 1,CA-01,176337,Democratic,37650,21.35116283026251
CA,DISTRICT 1,CA-01,176337,Republican,132433,75.10221904648485
CA,DISTRICT 1,CA-01,176337,Other,6254,3.5466181232526357
CA,DISTRICT 2,CA-02,210443,Democratic,127880,60.767048559467405
CA,DISTRICT 2,CA-02,210443,Republican,78986,37.533203765390155
CA,DISTRICT 2,CA-02,210443,Other,3577,1.6997476751424374
CA,DISTRICT 3,CA-03,190599,Democratic,106694,55.9782580181428
CA,DISTRICT 3,CA-03,190599,Republican,79717,41.8244586802659
CA,DISTRICT 3,CA-03,190599,Other,4188,2.197283301591299
CA,DISTRICT 4,CA-04,158554,Democratic,88067,55.5438525675795
CA,DISTRICT 4,CA-04,158554,Republican,65942,41.58961615600994
CA,DISTRICT 4,CA-04,158554,Other,4545,2.8665312764105604
CA,DISTRICT 5,CA-05,120319,Democratic,86647,72.01439506644836
CA,DISTRICT 5,CA-05,120319,Republican,29123,24.204822181035414
CA,DISTRICT 5,CA-05,120319,Other,4549,3.780782752516228
CA,DISTRICT 6,CA-06,192504,Democratic,52433,27.23735610688609
CA,DISTRICT 6,CA-06,192504,Republican,140071,72.7626438931139
CA,DISTRICT 6,CA-06,192504,Other,0,0.0
