state,district,geoid,total_votes,party,votes,percentage
AL,ALABAMA 01,AL-01,88989,Democratic,30474,34.24468192697974
AL,ALABAMA 01,AL-01,88989,Republican,58515,65.75531807302026
AL,ALABAMA 02,AL-02,90035,Democratic,40832,45.35125229077581
AL,ALABAMA 02,AL-02,90035,Republican,49203,54.64874770922419
AL,ALABAMA 03,AL-03,61015,Democratic,61015,100.0
AL,ALABAMA 04,AL-04,88816,Democratic,51863,58.393757881462804
AL,ALABAMA 04,AL-04,88816,Republican,36953,41.6062421185372
AL,ALABAMA 05,AL-05,68486,Democratic,68486,100.0
AL,ALABAMA 06,AL-06,101566,Democratic,37131,36.55849398420731
AL,ALABAMA 06,AL-06,101566,Republican,64435,63.44150601579268
AL,ALABAMA 07,AL-07,114959,Democratic,73987,64.35946728833758
AL,ALABAMA 07,AL-07,114959,Republican,40972,35.64053271166242
AL,ALABAMA 08,AL-08,91386,Democratic,65982,72.20143129144509
AL,ALABAMA 08,AL-08,91386,Republican,25404,27.79856870855492
AK,ALASKA 01,AK-01,65907,Democratic,31867,48.35146494302578
AK,ALASKA 01,AK-01,65907,Republican,34040,51.64853505697422
AZ,ARIZONA 01,AZ-01,151920,Democratic,49913,32.85479199578726
AZ,ARIZONA 01,AZ-01,151920,Republican,102007,67.14520800421275
AZ,ARIZONA 02,AZ-02,112139,Democratic,66813,59.58052060389338
AZ,ARIZONA 02,AZ-02,112139,Republican,45326,40.41947939610662
AZ,ARIZONA 03,AZ-03,100364,Democratic,43219,43.06225339763262
AZ,ARIZONA 03,AZ-03,100364,Republican,57145,56.937746602367376
AR,ARKANSAS 03,AR-03,157947,Democratic,74009,46.85685704698411
AR,ARKANSAS 03,AR-03,157947,Republican,83938,53.14314295301589
AR,ARKANSAS 04,AR-04,87691,Democratic,86887,99.08314422232613
AR,ARKANSAS 04,AR-04,87691,Republican,804,0.9168557776738776
CA,CALIFORNIA 01,CA-01,221643,Democratic,77000,34.74055124682485
CA,CALIFORNIA 01,CA-01,221643,Republican,143755,64.85880447386111
CA,CALIFORNIA 01,CA-01,221643,Other,888,0.40064427931403207
CA,CALIFORNIA 02,CA-02,184898,Democratic,131145,70.92829560081775
CA,CALIFORNIA 02,CA-02,184898,Republican,53753,29.071704399182252
CA,CALIFORNIA 03,CA-03,212234,Democratic,143177,67.46185813771591
CA,CALIFORNIA 03,CA-03,212234,Republican,69057,32.53814186228408
CA,CALIFORNIA 04,CA-04,114279,Democratic,67942,59.45274284864236
CA,CALIFORNIA 04,CA-04,114279,Republican,46337,40.54725715135764
CA,CALIFORNIA 05,CA-05,79254,Democratic,56476,71.25949478890655
CA,CALIFORNIA 05,CA-05,79254,Republican,22778,28.74050521109345
CA,CALIFORNIA 06,CA-06,173020,Democratic,40514,23.415790082071435
CA,CALIFORNIA 06,CA-06,173020,Republican,132506,76.58420991792856
