state,county,geoid,total_votes,party,votes,percentage
CT,FAIRFIELD,G0900010,320619,Democratic,194776,60.749986744391315
CT,FAIRFIELD,G0900010,320619,Republican,125554,39.15987511657138
CT,FAIRFIELD,G0900010,320619,Other,256,0.0798455487666046
CT,HARTFORD,G0900030,329504,Democratic,240044,72.85010197144798
CT,HARTFORD,G0900030,329504,Republican,88801,26.949900456443626
CT,HARTFORD,G0900030,329504,Other,593,0.1799674662523065
CT,LITCHFIELD,G0900050,61068,Democratic,40171,65.78076897884326
CT,LITCHFIELD,G0900050,61068,Republican,20830,34.10951725944849
CT,LITCHFIELD,G0900050,61068,Other,61,0.09988864871946027
CT,MIDDLESEX,G0900070,45285,Democratic,30513,67.37992712818814
CT,MIDDLESEX,G0900070,45285,Republican,14695,32.45003864414265
CT,MIDDLESEX,G0900070,45285,Other,68,0.15016009716241582
CT,NEW HAVEN,G0900090,316570,Democratic,218718,69.08993271630287
CT,NEW HAVEN,G0900090,316570,Republican,97630,30.839940613450423
CT,NEW HAVEN,G0900090,316570,Other,158,0.04990997251792653
CT,NEW LONDON,G0900110,78991,Democratic,54543,69.04963856641896
CT,NEW LONDON,G0900110,78991,Republican,24385,30.870605512020354
CT,NEW LONDON,G0900110,78991,Other,47,0.05950044941828816
CT,TOLLAND,G0900130,32204,Democratic,22192,68.9106943236865
CT,TOLLAND,G0900130,32204,Republican,9948,30.890572599677057
CT,TOLLAND,G0900130,32204,Other,58,0.18010185070177617
CT,WINDHAM,G0900150,34337,Democratic,25238,73.50088825465242
CT,WINDHAM,G0900150,34337,Republican,9079,26.440865538631797
CT,WINDHAM,G0900150,34337,Other,17,0.04950927570841949
ME,ANDROSCOGGIN,G2300010,37521,Democratic,30077,80.16044348498174
ME,ANDROSCOGGIN,G2300010,37521,Republican,7440,19.828895818341728
ME,ANDROSCOGGIN,G2300010,37521,Other,0,0
ME,AROOSTOOK,G2300030,27546,Democratic,17550,63.71160967109562
ME,AROOSTOOK,G2300030,27546,Republican,9994,36.28112974660568
ME,AROOSTOOK,G2300030,27546,Other,0,0
ME,CUMBERLAND,G2300050,73209,Democratic,50844,69.45047740031963
ME,CUMBERLAND,G2300050,73209,Republican,22358,30.539960933764977
ME,CUMBERLAND,G2300050,73209,Other,0,0
ME,FRANKLIN,G2300070,8671,Democratic,5784,66.70510898396955
ME,FRANKLIN,G2300070,8671,Republican,2887,33.29489101603045
ME,FRANKLIN,G2300070,8671,Other,0,0
ME,HANCOCK,G2300090,13719,Democratic,7414,54.04183978424083
ME,HANCOCK,G2300090,13719,Republican,6304,45.9508710547416
ME,HANCOCK,G2300090,13719,Other,0,0
ME,KENNEBEC,G2300110,36120,Democratic,24811,68.69047619047619
ME,KENNEBEC,G2300110,36120,Republican,11306,31.301218161683273
ME,KENNEBEC,G2300110,36120,Other,0,0
ME,KNOX,G2300130,11426,Democratic,7021,61.44757570453352
ME,KNOX,G2300130,11426,Republican,4404,38.54367232627341
ME,KNOX,G2300130,11426,Other,0,0
ME,LINCOLN,G2300150,9083,Democratic,5098,56.12683034239788
ME,LINCOLN,G2300150,9083,Republican,3984,43.86216007926896
ME,LINCOLN,G2300150,9083,Other,0,0
ME,OXFORD,G2300170,18956,Democratic,13614,71.81894914538933
ME,OXFORD,G2300170,18956,Republican,5340,28.17050010550749
ME,OXFORD,G2300170,18956,Other,0,0
ME,PENOBSCOT,G2300190,43215,Democratic,28764,66.56022214508852
ME,PENOBSCOT,G2300190,43215,Republican,14447,33.430521809556865
ME,PENOBSCOT,G2300190,43215,Other,0,0
ME,PISCATAQUIS,G2300210,7254,Democratic,4780,65.8946787979046
ME,PISCATAQUIS,G2300210,7254,Republican,2473,34.09153570443893
ME,PISCATAQUIS,G2300210,7254,Other,0,0
ME,SAGADAHOC,G2300230,9739,Democratic,7005,71.92730259780265
ME,SAGADAHOC,G2300230,9739,Republican,2733,28.06242940753671
ME,SAGADAHOC,G2300230,9739,Other,0,0
ME,SOMERSET,G2300250,15235,Democratic,10693,70.18706924844109
ME,SOMERSET,G2300250,15235,Republican,4540,29.799803085001642
ME,SOMERSET,G2300250,15235,Other,0,0
ME,WALDO,G2300270,8721,Democratic,5397,61.885104919160646
ME,WALDO,G2300270,8721,Republican,3324,38.114895080839354
ME,WALDO,G2300270,8721,Other,0,0
ME,WASHINGTON,G2300290,13128,Democratic,9312,70.93235831809872
ME,WASHINGTON,G2300290,13128,Republican,3815,29.060024375380866
ME,WASHINGTON,G2300290,13128,Other,0,0
ME,YORK,G2300310,47422,Democratic,34082,71.86959638986124
ME,YORK,G2300310,47422,Republican,13335,28.11985998059972
ME,YORK,G2300310,47422,Other,0,0
MA,BARNSTABLE,G2500010,35355,Democratic,20099,56.8491019657757
MA,BARNSTABLE,G2500010,35355,Republican,15132,42.80016970725499
MA,BARNSTABLE,G2500010,35355,Other,120,0.3394145099703012
MA,BERKSHIRE,G2500030,64331,Democratic,48834,75.91052525221123
MA,BERKSHIRE,G2500030,64331,Republican,15156,23.55940370894281
MA,BERKSHIRE,G2500030,64331,Other,328,0.5098630520277938
MA,BRISTOL,G2500050,186636,Democratic,146883,78.70025075548126
MA,BRISTOL,G2500050,186636,Republican,39212,21.0098801946034
MA,BRISTOL,G2500050,186636,Other,504,0.2700443644312994
MA,DUKES,G2500070,3214,Democratic,2187,68.04604853764779
MA,DUKES,G2500070,3214,Republican,1015,31.580584940883632
MA,DUKES,G2500070,3214,Other,12,0.37336652146857496
MA,ESSEX,G2500090,282945,Democratic,210115,74.26001519729984
MA,ESSEX,G2500090,282945,Republican,71642,25.320115216738238
MA,ESSEX,G2500090,282945,Other,1132,0.40007775362702996
MA,FRANKLIN,G2500110,25624,Democratic,17104,66.74992194817358
MA,FRANKLIN,G2500110,25624,Republican,8343,32.55931938807368
MA,FRANKLIN,G2500110,25624,Other,172,0.6712457071495473
MA,HAMPDEN,G2500130,178219,Democratic,133076,74.66992857102778
MA,HAMPDEN,G2500130,178219,Republican,44287,24.84976349323024
MA,HAMPDEN,G2500130,178219,Other,820,0.46010806928554193
MA,HAMPSHIRE,G2500150,43645,Democratic,32057,73.44942146866767
MA,HAMPSHIRE,G2500150,43645,Republican,11383,26.080879825867797
MA,HAMPSHIRE,G2500150,43645,Other,201,0.4605338526749914
MA,MIDDLESEX,G2500170,576810,Democratic,439760,76.24000970856954
